PL_NAME,SPEC_PATH,SPEC_TYPE,BIBCODE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
WASP-17 b,16/61/76/33/WASP_17_b_3.11446_3416_1.tbl,Transmission,2014MNRAS.437.1511B,Bento et al. 2014,3,ULTRACAM,New Technology Telescope,0.365,0.658,2454558.6853,2454558.6853,null
WASP-17 b,50/19/25/79/WASP_17_b_3.11446_3583_1.tbl,Transmission,2013ApJ...779..128M,Mandell et al. 2013,19,Wide Field Camera 3,Hubble Space Telescope satellite,1.128,1.634,2455750.7948,2455750.7948,null
WASP-17 b,74/62/53/66/WASP_17_b_3.11446_5262_4.tbl,Transmission,2022AJ....164....2S,Saba et al. 2022,9,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.385,0.56,2456366.5,2456366.5,Reduced and Fitted Using Iraclis - visit 2
WASP-17 b,80/97/30/88/WASP_17_b_3.11446_5262_1.tbl,Transmission,2022AJ....164....2S,Saba et al. 2022,39,Wide Field Camera 3,Hubble Space Telescope satellite,0.813,1.629,null,null,Reduced and Fitted Spectral Data Using Iraclis
WASP-17 b,61/35/02/74/WASP_17_b_3.11446_5275_2.tbl,Transmission,2023ApJ...956L..29G,Grant et al. 2023,28,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.125,11.875,null,null,Eureka! pipeline
WASP-17 b,85/61/90/01/WASP_17_b_3.11446_5275_1.tbl,Transmission,2023ApJ...956L..29G,Grant et al. 2023,28,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.125,11.875,null,null,ExoTiC-MIRI pipeline
WASP-17 b,84/17/07/67/WASP_17_b_3.11446_5295_1.tbl,Transmission,2023A&A...677A..51P,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,null,null,null
WASP-17 b,44/85/58/33/WASP_17_b_3.11446_5567_1.tbl,Transmission,2025AJ....169...86L,Louie et al. 2025,32,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.629,0.8622,2460024.1973,2460024.1973,Final Ahsoka Order 2, R=100 (Fit LD at Pixel Level)
WASP-17 b,64/90/32/35/WASP_17_b_3.11446_5567_2.tbl,Transmission,2025AJ....169...86L,Louie et al. 2025,119,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8544,2.8154,2460024.1974,2460024.1974,Final Ahsoka Order 1, R=100 (Fit LD at Pixel Level)
WASP-17 b,23/79/70/81/WASP_17_b_3.11446_5567_3.tbl,Transmission,2025AJ....169...86L,Louie et al. 2025,705,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6303,0.9496,2460024.1973,2460024.1973,Final Ahsoka Order 2 (Fit LD at Pixel Level)
WASP-17 b,93/26/37/71/WASP_17_b_3.11446_5567_4.tbl,Transmission,2025AJ....169...86L,Louie et al. 2025,2021,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8504,2.8098,2460024.1974,2460024.1974,Final Ahsoka Order 1 (Fit LD at Pixel Level)
WASP-17 b,69/16/16/93/WASP_17_b_3.11446_3584_1.tbl,Transmission,2011MNRAS.412.2376W,Wood et al. 2011,2,GIRAFFE,The Very Large Telescope,0.589,0.5896,null,null,null
WASP-17 b,69/71/81/60/WASP_17_b_3.11446_3717_2.tbl,Transmission,2016Natur.529...59S,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,null,null,null
WASP-17 b,08/34/79/65/WASP_17_b_3.11446_3717_3.tbl,Transmission,2016Natur.529...59S,Sing et al. 2016,25,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.34,0.985,null,null,null
WASP-17 b,07/79/92/43/WASP_17_b_3.11446_3717_1.tbl,Transmission,2016Natur.529...59S,Sing et al. 2016,12,Wide Field Camera 3,Hubble Space Telescope satellite,1.1319,1.6423,null,null,null
WASP-17 b,56/80/91/01/WASP_17_b_3.11446_3889_1.tbl,Transmission,2016A&A...596A..47S,Sedaghati et al. 2016,41,FORS2,Very Large Telescope (Antu),0.575,0.795,2457192.698,2457192.698,null
WASP-17 b,91/83/55/39/WASP_17_b_3.11446_5262_2.tbl,Transmission,2022AJ....164....2S,Saba et al. 2022,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,null,null,Reduced and Fitted Spectral Data Using TLCD-LSTM
WASP-17 b,38/61/21/27/WASP_17_b_3.11446_5262_3.tbl,Transmission,2022AJ....164....2S,Saba et al. 2022,9,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.385,0.56,2456086.5,2456086.5,Reduced and Fitted Using Iraclis - visit 1
WASP-17 b,82/21/06/48/WASP_17_b_3.11446_5262_5.tbl,Transmission,2022AJ....164....2S,Saba et al. 2022,7,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.57,0.87,2456370.5,2456370.5,Reduced and Fitted Using Iraclis - visit 3
